,society_name,description,area,bhk,square_ft,price,possession,rating
0,Sri Krishna Parijatha,Residential apartment for sell.The property comes with a good construction quality which ages 5-10 years old propertylocated in green glen layout.Property is built in 1450 (Builtup area) it is a semifurnished property.The property has 3 bedrooms with 3 bathrooms .Available at an expected price of rs 1.45cr.Located on 4th floor out of the 5,Carpet Area,3 BHK Flat,"₹10,000 /sqft",₹1.45 Cr,Ready To Move,3.7
1,DNR Reflection,"This 3 bhk apartment is available for sale in dnr reflection, one of the most prominent projects for flats in green glen layout, bangalore east. The flat is facing the east direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 2141 sq.Ft. This flat is situated on the 6th floor of this 12 floors tal...",Super Built-up Area,3 BHK Flat,"₹17,748 /sqft",₹3.8 Cr,Ready To Move,3.7
2,DNR Reflection,"Check out this 4 bhk apartment for sale in dnr reflection, a popular residential project that houses in-Demand flats in green glen layout, bangalore east. This property faces the north-East direction. The flat is over 2671 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. This flat is situated on the 11th floor of this 12 floors tall residential building. As t...",Super Built-up Area,4 BHK Flat,"₹16,098 /sqft",₹4.3 Cr,Ready To Move,4.1
3,DNR Reflection,"Dnr reflection is one of bangalore east's most sought after destination for apartments and this 3 bhk flat in green glen layout is your opportunity to be a part of this community. This residential flat is east-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2141 sq.Ft. The flat has a t...",Super Built-up Area,3 BHK Flat,"₹16,814 /sqft",₹3.6 Cr,Ready To Move,4.1
4,DNR Reflection,"This 4 bhk flat is located in dnr reflection, which houses some of the most spacious flats in green glen layout, bangalore east. This is a east-Facing property. The flat is over 3129 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. The residential building has 12 floors in total and the flat for sale is located on the 2nd floor. An added advantage of this 0-1...",Super Built-up Area,4 BHK Flat,"₹12,783 /sqft",₹4 Cr,Ready To Move,3.7
5,DNR Reflection,"Dnr reflection is one of bangalore east's most sought after destination for apartments and this 4 bhk flat in green glen layout is your opportunity to be a part of this community. This property faces the east direction. The flat is over 3129 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 2 balconies. The residential building has 12 floors in total and the flat for sale ...",Super Built-up Area,4 BHK Flat,"₹14,062 /sqft",₹4.4 Cr,Ready To Move,4.1
6,Sobha Hibiscus,"Well maintained 3bhk flat for sale at sobha hibiscus apartment. Very premium location, v close vicinity of techparks. Right on outer ring road",Super Built-up Area,3 BHK Flat,"₹11,730 /sqft",₹2 Cr,Ready To Move,3.6
7,DNR Reflection,"This beautiful 4 bhk flat in green glen layout, bangalore east is situated in dnr reflection, one of the popular residential society in bangalore east. The flat is east-Facing. Containing 4 bedroom(s), 5 bathrooms and 3 balconies, this flat is spread over a super built up area of 3134 sq.Ft. The flat has a total of 12 floors and this property is situated on 7th floor. As the project is already ...",Super Built-up Area,4 BHK Flat,"₹13,401 /sqft",₹4.2 Cr,Ready To Move,Nothing
8,DNR Reflection,"This lovely 4 bhk apartment/flat in green glen layout is available for sale in one of bangalore east's most popular projects, dnr reflection. The flat is facing the east direction. The flat is over 2671 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. This flat lies on the 6th level of a 12 storey building. Being a ready to move project, you can expect immedi...",Super Built-up Area,4 BHK Flat,"₹13,103 /sqft",₹3.5 Cr,Ready To Move,Nothing
9,DNR Reflection,"Situated in green glen layout, bangalore east, dnr reflection is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in bangalore east is your opportunity to be a part of this community. This property faces the east direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 2 balconies. All in all, the flat is spread over a super ...",Super Built-up Area,4 BHK Flat,"₹13,103 /sqft",₹4.1 Cr,Ready To Move,Nothing
10,Sobha Hibiscus,"This 3 bhk flat is located in sobha hibiscus, which houses some of the most spacious flats in green glen layout, bangalore east. The flat is facing the north direction. The flat is over 1685 sq.Ft. Built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat is situated on the 3rd floor of this 9 floors tall residential building. An added advantage of this 10+ years old fla...",Built-up Area,3 BHK Flat,"₹11,275 /sqft",₹1.9 Cr,Ready To Move,Nothing
11,Sobha Hibiscus,"Sobha hibiscus is a luxurious residential project with a unique design and architecture. The project offers a variety of luxurious features that make it a perfect place to call home. Sobha hibiscus, a beautiful 3 bhk semifurnised apartment is developed by sobha developer in bangalore. Sobha hibiscus is one of the popular residential developments in sarjapur road neighborhood of bangalore. Sobha...",Built-up Area,3 BHK Flat,"₹12,941 /sqft",₹2.2 Cr,Ready To Move,Nothing
12,Sobha Mayflower,"Situated in green glen layout, bangalore east, sobha mayflower is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bangalore east is your opportunity to be a part of this community. The flat is facing the east direction. Constructed on a super built up area of 1734 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat...",Super Built-up Area,3 BHK Flat,"₹11,534 /sqft",₹2 Cr,Ready To Move,Nothing
13,Sobha Hibiscus,"We are the proud owners of this 3 bhk apartment available in sobha hibiscus, green glen layout, bangalore east. This it is a and the unit is located on 4th floor and has a super built-Up area of 1684 sq.Ft. . It has 3 bathroom(s). The ownership is freehold type.",Super Built-up Area,3 BHK Flat,"₹14,845 /sqft",₹2.5 Cr,Ready To Move,Nothing
