,society_name,short_description,bhk,square_feet,price,description
0,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,705 sqft",₹2.2 Cr,"Situated in jaypee greens, greater noida, jaypee greens star court is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in greater noida is your opportunity to be a part of this community. This property faces the north-East direction. Containing 2 bedroom(s), 3 bathrooms and 1 balcony, this flat is spread over a super built up area of 1705 sq.Ft. ..."
1,Jaypee Greens The Sun Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,768 sqft",₹8 Cr,"It is a golf property. Jaypee greens, greater noida"
2,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,651 sqft",₹2.15 Cr,"Offering a rare blend of opulence and livability, jaypee greens star court apartments fulfill the promise of giving you more than what meets the eye. A set of nine towers of 19 floors, offering studio, 2& 3 bhk apartments with areas ranging from 42.05 sq.M 225.60 sq.M. (452.67 sq.Ft. To 2428.41sq.Ft.),set on the periphery of 18-Hole golf course and the landscaped greens, every apartment offers ..."
3,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,732 sqft",₹2.25 Cr,"Offering a rare blend of opulence and livability, jaypee greens star court apartments fulfill the promise of giving you more than what meets the eye. A set of nine towers of 19 floors, offering studio, 2& 3 bhk apartments with areas ranging from 42.05 sq.M 225.60 sq.M. (452.67 sq.Ft. To 2428.41sq.Ft.),set on the periphery of 18-Hole golf course and the landscaped greens, every apartment offers ..."
4,Jaypee Greens Villas,"5 Bedroom House in Jaypee Greens, Greater Noida",5 BHK,"4,500 sqft",₹18 Cr,"Jaypee greens, greater noida, u p Check out this 5 bhk villa for sale in jaypee greens residences, a popular residential project that houses in-Demand villas in jaypee greens, greater noida. Constructed on a plot area of 500 sq.Yard., the villa comprises 5 bedroom(s), 7 bathrooms and more than 3 balconies. The villa has a total of 2.5 floors and this property available on good location. Please ..."
5,Jaypee Greens Crescent Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"2,640 sqft",₹5.25 Cr,"Jaypee greens crescent court is a unique collection of luxury apartments with golf and green views par excellence. Laid out in a crescent manner with 6 & 21 storey towers, crescent court offers 1,2&3 bhk apartments that embody the true essence of luxury and lifestyle with a new efficient layout.. The residents of these apartments will have an access to an exclusive club on the sixth floor of th..."
6,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,200 sqft",₹3.5 Cr,"Offering a rare blend of opulence and livability, jaypee greens star court apartments fulfill the promise of giving you more than what meets the eye. A set of nine towers of 19 floors, offering studio, 2& 3 bhk apartments with areas ranging from 42.05 sq.M 225.60 sq.M. (452.67 sq.Ft. To 2428.41sq.Ft.),set on the periphery of 18-Hole golf course and the landscaped greens, every apartment offers ..."
7,Jaypee Greens Spa Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,150 sqft",₹3 Cr,"This 3 bhk flat is located in jaypee greens spa court, which houses some of the most spacious flats in jaypee greens, greater noida. Constructed on a super built up area of 2350 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 2 balconies. This flat lies on the top level of a 4 storey building. An added advantage of this 5-10 years old flat is that it is available for immediate possessi..."
8,Jaypee Greens Villas,"5 Bedroom House in Jaypee Greens, Greater Noida",5 BHK,"4,500 sqft",₹18.5 Cr,"Jaypee greens is one of greater noida's most sought after destination for residential houses and this 5 bhk house in jaypee greens is your opportunity to be a part of this community. The floor plan additionally contains 5 bedrooms, 8 bathrooms and 3 balconies. All in all, the independent house is spread over a super built up area of 500 sq.Yards. The houses comes with dedicated 1 covered and 1 ..."
9,"Jaypee Greens,, Greater Noida","6 Bedroom House in Jaypee Greens, Greater Noida",6 BHK,"15,750 sqft",₹55 Cr,Only for a serious buyer only 6 bhk 8 bath room 1460 mtr 1750 sq yards North east facing Awesome view But only for a serious and genuine buyer
10,Jaypee Greens The Sun Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,768 sqft",₹6 Cr,"Ushering natures bounty in luxurious urban living is jaypee greens sun court greater noida. Awarded 'best apartments india' by cnbc, these 3bhk flats apartments offer a unique experience of living in an iconic glass cylindrical masterpiece with uninterrupted breathtaking views of the greg norman designed championship golf course and landscaped greens.The sun court apartments towers are 30-Store..."
11,"Jaypee Greens,, Greater Noida","4 Bedroom House in Jaypee Greens, Greater Noida",4 BHK,"45,900 sqft",₹18 Cr,"For sale : Location jp green, , greater noida, Ground floor/1st floor Plot size - 5100 yards, green belt, park facing nearby pari chowk , metro market, schools, universities, bus stand, auto stand. Very prime location of city as sector is well connected to 130 meter highway connecting noida, ghaziabad, noida extension and yamuna expressway (We have many other options in various sizes for sale i..."
