,society_name,short_description,bhk,square_feet,price,description
0,"Greater Kailash 2, Delhi, South Delhi","2 BHK Independent Builder Floor in Greater Kailash 2, Delhi",2 BHK,"1,350 sqft",₹2.1 Cr,"Planning to purchase dream house in south delhi? This 2 bhk builder floor in greater kailash 2 is a great option for you. This builder floor comes with 2 bedrooms, 1 bathroom and 1 balcony. This builder floor is unfurnished. This builder floor provides you super built up area of 1350 sq.Ft. This builder floor is situated at the basement floor of 4 floors building. You can plan to move in immedi..."
1,paryavaran society,"2 BHK Flat in Paryavaran Complex, Delhi",2 BHK,"1,150 sqft",₹1.3 Cr,"Residential apartment This is your chance to a 2 bhk apartment / flat for sale in paryavaran complex south delhi . Where luxury comes with affordability. Basic details: You will love this bright and spacious 2 bedroom apartment with 1 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural l..."
2,"Lajpat Nagar 4, Delhi, South Delhi","2 BHK Independent Builder Floor in Lajpat Nagar 4, Delhi",2 BHK,950 sqft,₹1.55 Cr,"2 bhk builder floor in lajpat nagar 4 enjoys a prime property in south delhi. This apartment is just the type of property you are looking for. This property has 2 bedrooms, 2 bathrooms and 1 balcony. The furnishing status of the builder floor is semi-Furnished. Carpet area of the property is 950 sq.Ft. This beautiful property resides at 2nd floor of 4 floors building. This 1-5 years old builder..."
3,"Block C New Friends Colony, Delhi, South Delhi","2 BHK Independent Builder Floor in Block C New Friends Colony, Delhi",2 BHK,"1,180 sqft",₹2.45 Cr,2nd floor flat with front facing balcony and a provision for a separate servant room. New friends colony gated colony and 24 hour guard and 1 car parking available for immediate sale.
4,DDA Flats,"2 BHK Flat in Saket, South Delhi",2 BHK,"1,150 sqft",₹2.35 Cr,"Looking for a 2 bhk property for sale in south delhi? Buy this 2 bhk flat in dda flats that is situated in saket, south delhi. The flat is facing the west direction. The flat occupies a built up area of 1150 sq.Ft. That consists of 2 bedrooms, 2 bathrooms . This flat is situated on the ground floor of this 3 floors tall residential building. As the project is already ready to move, so you can e..."
5,Amar Colony,"2 BHK Independent Builder Floor in Lajpat Nagar, Delhi",2 BHK,900 sqft,₹1.95 Cr,"Carefully laid out in the prime location of south delhi, this elegant 2 bhk builder floor in lajpat nagar is a well-Suited property for you. This spacious builder floor provides you 2 bedrooms, 2 bathrooms and 1 balcony. The furnishing status of the builder floor is unfurnished. This builder floor spreads over carpet area of 900 sq.Ft. This builder floor apartment is located at 1st floor in a b..."
6,DDA C8 Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,100 sqft",₹2.05 Cr,Raw flat on the second floor with a terrace. Reasonable price. Kindly contact us immediately before it's gone. Thankyou
7,DDA Flats Sarita Vihar,"2 BHK Flat in Sarita Vihar, Delhi",2 BHK,"1,000 sqft",₹1.4 Cr,Located on ground floor with covered balcony and very near to sarita vihar j block market. Very near to j block main gate and market. Full balcony covered giving additional 150 sq. Ft covered space. Backside also space available on ground floor. Excellent location.
8,"Chattarpur Enclave Phase 2, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur Enclave Phase 2, Delhi",2 BHK,800 sqft,₹60 Lac,"The perfect destination for those who desire to own a spacious and luxurious 2bhk flat in sultanpur . Located in the heart of the city ,gd realty provide the perfect ambiance for all its inhabitants."
9,"Block I Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Block I Lajpat Nagar 1, Delhi",2 BHK,900 sqft,₹1.3 Cr,"Third floor (2bhk) and fourth floor (Two rooms, kitchen, bathroom) park facing, freehold with ample car parking."
10,"Saket, South Delhi","2 BHK Independent Builder Floor in Saket, South Delhi",2 BHK,900 sqft,₹2.35 Cr,"Saket is one of the sought after locations in south delhi to purchase a residential house. This 2 bhk builder floor in saket provides you an opportunity to be a part of this location. 2 bedrooms, 2 bathrooms and 2 balconies are present in this builder floor. The furnishing status of the builder floor is semi-Furnished. This builder floor provides you carpet area of 900 sq.Ft. This builder floor..."
11,DDA Flats Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,010 sqft",₹1.8 Cr,It's a raw flat located on ground floor. Nice and peaceful location and park facing. Kindly contact us to visit this apartment. Thankyou
12,Sector B Pocket 8,"2 BHK Flat in Sector B Vasant Kunj, Delhi",2 BHK,"1,200 sqft",₹3.1 Cr,"B8 third floor with terrace, lift"
13,"Sector D, Vasant Kunj","2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,200 sqft",₹2 Cr,A dda flat comes up with Full of natural light Floor 2nd Old renovated house Surrounded by lush green parks. Its a very peaceful society with 24x7 security with cctv installed. Groceries are available short handedly. The vicinity is witness of top schools of delhi in radius of 1 km. Top malls and lush green parks is an add on benefit with living in a place 10 minute drive from airport. Addition...
14,"Greater Kailash 2, Delhi, South Delhi","2 BHK Independent Builder Floor in Greater Kailash 2, Delhi",2 BHK,"1,100 sqft",₹2.75 Cr,"Discover smartly planned 2 bhk builder floor in greater kailash 2, an ideal space for your family in south delhi. This builder floor comes with 2 bedrooms, 2 bathrooms and 2 balconies. This property is semi-Furnished. This builder floor provides you carpet area of 1100 sq.Ft. It is located on ground floor of 4 storey building. This 10+ years old builder floor is ready to move in. This builder f..."
15,DDA Narmada Apartment,"2 BHK Flat in Sector D Vasant Kunj, Delhi",2 BHK,"1,250 sqft",₹2.2 Cr,Flat for sale 2 bedroom 2 bathroom semifinished flat 2nd floor without lift sun fecing flat vastu perfect for more details contact Additional details : Piped gas facility is available in the property. The apartment has borings water supply. Daily needs shopping could be done within the society premises to make the stay convinent. No power backup is available. The society has dedicated security ...
16,DDA Santushti Apartments,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,200 sqft",₹2.25 Cr,"Located in the popular residential address of vasant kunj, south delhi, dda santushti apartments is one of the most preferred destination for apartments in south delhi. This 2 bhk flat is your ticket to be a part of this community. The flat is facing the south direction. Containing 2 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a carpet area of 1200 sq.Ft. The residential b..."
17,DDA Flats Sector B Pocket 9,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"2,000 sqft",₹3 Cr,"Originall 2 bhk , 4 side corner , fully xtended on down staires Can b convert into 5 bhk , prime location , lift approved . Situated in sec b pkt 9 near jnu green belt . For more details kindly call or mess. On the mention numbers"
18,Dda Hig Flats Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,100 sqft",₹2.6 Cr,It's renovated 2 bhk apartment with 3 washrooms. Located at a serene location and is park facing. Kindly contact us to visit this apartment. Thankyou
19,DDA C8 Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,999 sqft,₹2.25 Cr,Beautiful 2 bhk apartment on top floor. This is well ventilated and spacious apartment. Kindly contact us to visit this apartment. Thankyou
20,DDA C8 Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,050 sqft",₹1.99 Cr,Corner apartment. 2 bhk original. Peaceful location with connectivity of whole south delhi. Kindly contact us to visit this apartment.
21,"Lajpat Nagar 2, Delhi, South Delhi","2 BHK Independent Builder Floor in Lajpat Nagar 2, Delhi",2 BHK,800 sqft,₹1.15 Cr,It's independent floor available for sale.
22,"Krishna Nagar, Delhi, South Delhi","2 BHK Independent Builder Floor in Krishna Nagar, Delhi",2 BHK,675 sqft,₹80 Lac,Good property on road property near by bada gurudwara frant facing property in a wide road
23,DDA C8 Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,100 sqft",₹2.25 Cr,"This lovely 2 bhk apartment/flat in vasant kunj is available for sale in one of south delhi's most popular projects, dda c8 vasant kunj. The flat is facing the east direction. The flat is over 1100 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 1st floor of this 3 floors tall residential building. An added advantage of this 10+ years ol..."
24,DDA Santushti Apartments,"2 BHK Flat in Vasant Kunj, Delhi",2 BHK,"1,100 sqft",₹2.5 Cr,"Situated in vasant kunj, south delhi, dda santushti apartments is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in south delhi is your opportunity to be a part of this community. This residential flat is north-West-Facing direction. The flat is over 1100 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The property ..."
25,"Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Lajpat Nagar 1, Delhi",2 BHK,900 sqft,₹1.49 Cr,"D 2bhk with lift, modular kitchen, Peaceful location, spacious and airy, sunlight and ventilation, Car parking, Walking distance from metro and market, For further details call shiv associates"
26,"Chattarpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur, Delhi",2 BHK,750 sqft,₹60.5 Lac,"Chattarpur is one of the sought after locations in south delhi to purchase a residential house. This 2 bhk builder floor in chattarpur provides you an opportunity to be a part of this location. Equipped with 2 bedrooms, 2 bathrooms and 1 balcony. It's a semi-Furnished property. This builder floor provides you carpet area of 750 sq.Ft. It is located on 2nd floor of 5 storey building. This 1-5 ye..."
27,"Chattarpur Enclave Phase 2, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur Enclave Phase 2, Delhi",2 BHK,720 sqft,₹60 Lac,"The perfect destination for those who desire to own a spacious and luxurious 2bhk flat in sultanpur . Located in the heart of the city ,gd realty provide the perfect ambiance for all its inhabitants."
28,DDA Flats,"2 BHK Flat in Saket, South Delhi",2 BHK,"1,400 sqft",₹2.45 Cr,"Looking for a 2 bhk property for sale in south delhi? Buy this 2 bhk flat in dda flats that is situated in saket, south delhi. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 1400 sq.Ft. The property is located on the ground floor of a 4 floors tall building. As the project is already ready to move, so you can ea..."
29,"Krishna Nagar, Delhi, South Delhi","2 BHK Independent Builder Floor in Krishna Nagar, Delhi",2 BHK,900 sqft,₹90 Lac,"Outside gali no 5 ,(Park facing), krishna nagar, safdarjung enclave well maintained property."
30,DDA Flats Sarita Vihar,"2 BHK Flat in Sarita Vihar, Delhi",2 BHK,"1,250 sqft",₹1.05 Cr,2bhk on 3rd floor dda flat in sarita vihar for sale Contact for more details
31,RWA Sant Nagar,"2 BHK Independent Builder Floor in Sant Nagar, Delhi",2 BHK,900 sqft,₹1.2 Cr,Upper ground floor with lift and car parking newly built sant nagar east of kailash new delhi near by metro station nerhu place
32,"Chattarpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur, Delhi",2 BHK,850 sqft,₹62 Lac,"Planning to purchase dream house in south delhi? This 2 bhk builder floor in chattarpur is a great option for you. 2 bedrooms, 2 bathrooms and 1 balcony are present in this builder floor. This is a semi-Furnished builder floor. This property spans over carpet area of 850 sq.Ft. This builder floor is situated at the 2nd floor of 4 floors building. You can plan to move in immediately in this amaz..."
33,"Chattarpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur, Delhi",2 BHK,850 sqft,₹61.25 Lac,"2 bhk builder floor in chattarpur, south delhi available for sale. This property has 2 bedrooms, 2 bathrooms and 1 balcony. The furnishing status of the builder floor is semi-Furnished. This spacious builder floor has carpet area of 850 sq.Ft. You can find this spectacular builder floor on the 1st floor of 4 storey building. This 0-1 year old builder floor is ready to move in. It is a freehold ..."
34,"Chattarpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur, Delhi",2 BHK,900 sqft,₹80 Lac,"This well designed 2 bhk builder floor in chattarpur, south delhi, is a perfect place for your family. Equipped with 2 bedrooms, 2 bathrooms and 1 balcony. It's a semi-Furnished property. This builder floor spreads over carpet area of 900 sq.Ft. This builder floor is situated at the ground floor of 4 floors building. It is 1-5 years old ready to move property. The ownership right of this proper..."
35,"Chattarpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur, Delhi",2 BHK,750 sqft,₹65 Lac,"2 bhk builder floor in chattarpur, south delhi available for sale. This property has 2 bedrooms, 2 bathrooms and 1 balcony. This is a semi-Furnished builder floor. This spacious builder floor has carpet area of 750 sq.Ft. This builder floor apartment is located at 1st floor in a building of total 4 floors. You can plan to move in immediately in this amazing ready to move in builder floor. This ..."
36,DDA Flats Sector C Pocket 9,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,300 sqft",₹3.5 Cr,"Dda flats sector c pocket 9 is one of south delhi's most sought after destination for apartments and this 2 bhk flat in vasant kunj is your opportunity to be a part of this community. This property faces the north-East direction. The flat is over 1300 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 2 floors in total and the flat for sale..."
