,society_name,short_description,bhk,square_feet,price,description
0,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,726 sqft",₹1.85 Cr,"This 3 bhk apartment is available for sale in griha pravesh, one of the most prominent projects for flats in sector 77 noida. The flat is east-Facing. Containing 3 bedroom(s), 3 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1726 sq.Ft. This flat is situated on the 15th floor of this 18 floors tall residential building. Being a ready to move project, you ..."
1,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,726 sqft",₹1.8 Cr,"3bhk, 3bath flat available for sale in one of the most luxurious societies of noida. Centrally located. The flat features airy rooms with ample sunlight and includes 1 covered parking. Enjoy premium facilities like a clubhouse, gym, swimming pool, play area, restaurant, security, and an onsite market. Well connected. Contact for more details and visit."
2,Griha Pravesh,"4 BHK Flat in Sector 77, Noida",4 BHK,"2,569 sqft",₹2.9 Cr,"This 4 bhk flat is located in griha pravesh, which houses some of the most spacious flats in sector 77 noida. This is a east-Facing property. The floor plan additionally contains 4 bedroom(s), 5 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 2569 sq.Ft. The property is located on the 10th floor of a 18 floors tall building. This is a ready to m..."
3,Griha Pravesh,"4 BHK Flat in Sector 77, Noida",4 BHK,"2,569 sqft",₹2.9 Cr,"Situated in sector 77 noida, griha pravesh is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in noida is your opportunity to be a part of this community. The flat is facing the east direction. The flat occupies a super built up area of 2569 sq.Ft. That consists of 4 bedrooms, 5 bathrooms and more than 3 balconies. The flat has a total of 18 flo..."
4,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.6 Cr,"Explore the ideal combination of comfort & warmth in our welcoming & spacious 3 bhk flat + servant + puja/store room. The property, registered by the noida authority in 2016, will be available for possession from oct 2024. Property specifications Located on the 15th floor of a 19-Floor tower, this west-Facing residence offers a carpet area of 1971 sq feet (183.11 sq meters) sqft and boasts a hi..."
5,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.45 Cr,"This beautiful 3 bhk flat in sector 77 noida is situated in griha pravesh, one of the popular residential society in noida. This is a east-Facing property. The flat is over 1971 sq.Ft. Super built up area and comes with 3 bedroom(s), 4 bathrooms and more than 3 balconies. This flat is situated on the 10th floor of this 18 floors tall residential building. An added advantage of this 1-5 years ol..."
6,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,130 sqft",₹1.1 Cr,"Located in the popular residential address of sector 77 noida, griha pravesh is one of the most preferred destination for apartments in noida. This 2 bhk flat is your ticket to be a part of this community. This residential flat is east-Facing direction. Constructed on a built up area of 1130 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 18 floors ..."
7,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.2 Cr,Flat is located in prime location in society sector 77.It is fully ary and sunlight come in full day in summer and winter.
8,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,726 sqft",₹1.87 Cr,"Looking for a 3 bhk property for sale in noida? Buy this 3 bhk flat in griha pravesh that is situated in sector 77 noida. This residential flat is east-Facing direction. The flat occupies a super built up area of 1726 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and more than 3 balconies. The property is located on the 15th floor of a 18 floors tall building. Being a ready to move project, y..."
9,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.6 Cr,"Flooring Drawing: Vitrified tiles Dining: Vitrified tiles Kitchen: Vitrified tiles All bedrooms: Laminated wooden flooring Balconies: Designer anti-Skid tiles Toilets: Granite stone Electrical Internal: Fire resistant copper wiring in concealed pvc conduits Switches: Modular switches & sockets in adequate numbers External: Adequate lighting in common areas, staircase, lobby, parking space, gard..."
10,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.5 Cr,"Griha pravesh is one of the most popular destination for buying apartments/ flats in sector 77 noida. You too can be a part of this society by purchasing this 3 bhk flat here. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 1971 sq.Ft. This flat is situated on the 15th floor of this 18 floors ..."
11,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,175 sqft",₹1.08 Cr,"Located in the popular residential address of sector 77 noida, griha pravesh is one of the most preferred destination for apartments in noida. This 2 bhk flat is your ticket to be a part of this community. The flat is over 1175 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and more than 3 balconies. This flat lies on the 10th level of a 18 storey building. This 0-1 year ol..."
12,Griha Pravesh,"4 BHK Flat in Sector 77, Noida",4 BHK,"2,569 sqft",₹2.7 Cr,Apartment for sale sector-77 noida area-2569sqft 4bhk dd 5bathroom servant room puja room semi furnished 11th floor park facing power backup swimming pool gym club car parking.
13,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.4 Cr,Apartment for sale main road facing area-1971sqft 3bhk dd 4bathroom servant room puja room semi furnished flat power backup swimming pool gym club car parking.
14,Griha Pravesh,"4 BHK Flat in Sector 77, Noida",4 BHK,"2,569 sqft",₹2.75 Cr,Apartment for sale sector-77 noida 4bhk dd 5bathroom servant room semi furnished flat 12th floor park facing power backup swimming pool gym club car parking.
