,society_name,short_description,bhk,square_feet,price,description
0,Skytech Matrott,"2 BHK Flat in Sector 76, Noida",2 BHK,"1,150 sqft",₹1.07 Cr,"Check out this 2 bhk apartment for sale in skytech matrott, a popular residential project that houses in-Demand flats in sector 76 noida. This is a south-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1150 sq.Ft. This flat lies on the 12th level of a 16 storey building. Being a ready t..."
1,RG Residency,"2 BHK Flat in Sector 120, Noida",2 BHK,"1,154 sqft",₹87 Lac,"Check out this 2 bhk apartment for sale in rg residency, a popular residential project that houses in-Demand flats in sector 120 noida. This property faces the east direction. Constructed on a super built up area of 1154 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. This flat is situated on the 18th floor of this 22 floors tall residential building. This is a ready to mo..."
2,Shatabdi Rail Vihar,"2 BHK Flat in Sector 62, Noida",2 BHK,950 sqft,₹1 Cr,"This beautiful 2 bhk flat in sector 62 noida is situated in shatabdi rail vihar, one of the popular residential society in noida. The flat is north-East-Facing. The flat occupies a super built up area of 950 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The flat has a total of 3 floors and this property is situated on 2nd floor. This is a ready to move project and the propert..."
3,Amrapali Centurian Park Terrace Homes,"2 BHK Flat in Noida Extension, Noida",2 BHK,885 sqft,₹65 Lac,"Location near school,dmart etc"
4,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,"1,040 sqft",₹70.73 Lac,"Make Gaur City 2 14th Avenue your next home. Book your 2 BHK flat in Noida Extension, Noida. With a super built-up area of 1040.0 sq. ft., the flat combines the finest design and amenities in Noida to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 2 BHK flat for Rs. 70.73 Lac. It is a ready to move property which is unique in its perfect harmony of cla..."
5,Homes 121,"2 BHK Flat in sector 121, Noida",2 BHK,"1,075 sqft",₹90 Lac,"Check out this 2 bhk apartment for sale in homes 121, a popular residential project that houses in-Demand flats in sector 121 noida. This property faces the east direction. The flat occupies a super built up area of 1075 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and more than 3 balconies. This flat is situated on the 4th floor of this 14 floors tall residential building. This 5-10 years o..."
6,Dkrrish Green Beauty Farms,"2 Bedroom Farm house in Sector 135, Noida",2 BHK,"30,600 sqft",₹3 Cr,"Green beauty farms is in today's bustle filled life, when the busy offices, noisy streets, cluttered roads take their toll on you, taking off becomes mandatory. Far from the maddening crowd lies a world where you will love to break free, relax and also experience adventure in a little way. With a fully built cottage and massive functional swimming pool."
7,ACE Parkway,"2 BHK Flat in Sector 150, Noida",2 BHK,900 sqft,₹1.4 Cr,"This 2 bhk apartment is available for sale in ace parkway, one of the most prominent projects for flats in sector 150 noida. Constructed on a carpet area of 900 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the 22nd floor of a 26 floors tall building. This 0-1 year old property is available for immediate possession as the project is ready to mo..."
8,Dkrrish Green Beauty Farms,"2 Bedroom Farm house in Sector 135, Noida",2 BHK,"9,072 sqft",₹99 Lac,It is agriculture farm house it's have a big space area and nearest hospital schools metro station and new biggest new airpot in jewar this is a freehold property
9,3C Lotus Boulevard,"2 BHK Flat in Sector 100, Noida",2 BHK,"1,420 sqft",₹1.3 Cr,"This beautiful 2 bhk flat in sector 100 noida is situated in 3c lotus boulevard, one of the popular residential society in noida. This residential flat is north-East-Facing direction. The flat is over 1420 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 30 floors and this property is situated on ground floor. An added advantage of thi..."
10,Supertech Supernova,"2 BHK Flat in Sector 94, Noida",2 BHK,"1,220-1,710 sqft",₹0 - 18.81 Cr,"Make Supertech Supernova your next home. This project offers 2 BHK flats in Sector 94, Noida. With a super built-up area ranging from 1220.0 sq. ft. to 1710.0 sq. ft., these flats combine the finest design and amenities in Noida to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. The feature..."
11,ACE Parkway,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,085-1,095 sqft",₹1.63 - 1.65 Cr,"ACE Parkway is a ready to move project, offering 2 BHK flats in Sector 150, Noida. These flats have a super built-up area in the range of 1085.0 sq. ft. to 1095.0 sq. ft. and are available at an economical price of Rs. 1.63 Crore - Rs. 1.65 Crore. It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Landscape G..."
12,Jaypee Greens Kosmos,"2 BHK Flat in Sector 134, Noida",2 BHK,942 sqft,₹72.11 Lac,"945 sq ft ready to move flat on 6th floor corner, unused, registered unit with under ground parking available for sale"
